Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2021-09-17,0.2542,0.2587,0.22707,0.22947,83687958.0,19655496.66263,74815.0,35614219.0,8368026.0713
2021-09-18,0.22984,0.24328,0.2271,0.23215,68223692.0,16034526.59669,54151.0,28902870.0,6803337.76248
2021-09-19,0.23215,0.23541,0.22213,0.22858,68016875.0,15609028.2051,46833.0,29885361.0,6871326.77783
2021-09-20,0.22862,0.2426,0.20013,0.20685,176439695.0,38763608.17094,114685.0,80419872.0,17688478.66784
2021-09-21,0.20697,0.21998,0.1927,0.1989,79929479.0,16590742.48591,53730.0,35635388.0,7405996.27787
2021-09-22,0.19914,0.23857,0.195,0.22884,160926876.0,35743192.30711,93351.0,76615288.0,17036174.33746
2021-09-23,0.22863,0.23367,0.21681,0.23242,69786028.0,15774157.35225,45289.0,29493860.0,6669429.79026
2021-09-24,0.23242,0.2327,0.20087,0.2141,79512571.0,17013062.09964,59933.0,35770820.0,7646577.50859
2021-09-25,0.21432,0.21945,0.2076,0.21654,38992078.0,8348995.11551,31258.0,17798935.0,3813271.06925
2021-09-26,0.2166,0.2325,0.19,0.22497,127358754.0,27475905.84305,79365.0,58052560.0,12543517.1676
2021-09-27,0.22486,0.245,0.22013,0.23177,214669150.0,50690292.502,123100.0,104405074.0,24663043.40823
2021-09-28,0.23177,0.275,0.225,0.25598,735978163.0,191467662.64474,380896.0,370734227.0,96515420.00618
2021-09-29,0.25599,0.26493,0.22853,0.23511,368887864.0,92039799.99112,194461.0,171906762.0,42916095.56166
2021-09-30,0.23534,0.25591,0.22249,0.24472,431829754.0,104645565.60009,191412.0,206601947.0,50097886.16971
2021-10-01,0.24472,0.25756,0.24001,0.25694,193312220.0,47920681.6876,111626.0,87444321.0,21683650.44057
2021-10-02,0.25694,0.26049,0.24621,0.24878,138016318.0,34610941.36342,82784.0,57525670.0,14435877.90853
2021-10-03,0.24885,0.24961,0.23588,0.24337,108530458.0,26454546.18002,76715.0,45941525.0,11196827.59709
2021-10-04,0.24336,0.24532,0.22555,0.23383,148026777.0,34501149.20285,94811.0,62965665.0,14680558.31039
2021-10-05,0.23373,0.23839,0.225,0.23349,161396288.0,37355831.10784,103918.0,69139286.0,16012092.3359
2021-10-06,0.23347,0.24085,0.21011,0.22538,268585066.0,60779821.01909,164381.0,119936197.0,27162496.96016
2021-10-07,0.22546,0.23005,0.216,0.22102,147502778.0,32809713.78314,89105.0,64435802.0,14339966.96286
2021-10-08,0.22106,0.2271,0.22,0.22221,139706999.0,31213163.44915,84159.0,59155165.0,13223085.89564
2021-10-09,0.22221,0.2245,0.21719,0.2227,116155966.0,25737980.80556,64104.0,47228710.0,10469540.147
2021-10-10,0.22298,0.22299,0.21105,0.21202,87472759.0,19127100.14292,57408.0,34484652.0,7543119.22053
2021-10-11,0.21202,0.21876,0.20669,0.21469,99224830.0,21259255.27014,66068.0,43180682.0,9260459.65734
2021-10-12,0.21469,0.23618,0.21237,0.22203,883519842.0,198388633.28687,397256.0,413460149.0,92977888.34629
2021-10-13,0.22198,0.22319,0.21293,0.21698,180554171.0,39173657.16746,121981.0,76212741.0,16543537.22813
2021-10-14,0.217,0.2233,0.21479,0.21829,133501490.0,29206020.11083,78038.0,58049135.0,12700299.72828
2021-10-15,0.21829,0.22035,0.20381,0.20618,177575368.0,37345844.0428,109153.0,74602049.0,15693782.35621
2021-10-16,0.20629,0.20949,0.20202,0.20384,178812196.0,36827899.93003,112847.0,77476209.0,15957248.75764
2021-10-17,0.20397,0.21171,0.192,0.20158,183808034.0,37437575.19109,103054.0,78259925.0,15946191.97716
2021-10-18,0.20174,0.20198,0.19221,0.19492,155109004.0,30441099.14446,95964.0,65494090.0,12856980.83521
2021-10-19,0.19492,0.19505,0.18515,0.18885,222600269.0,42302775.69344,122177.0,91576842.0,17398972.0294
2021-10-20,0.18877,0.20049,0.17418,0.19744,583946351.0,110815645.13639,260861.0,272767900.0,51799693.14501
2021-10-21,0.19743,0.2009,0.1856,0.18785,245482907.0,47557070.85869,132786.0,108946178.0,21119849.83274
2021-10-22,0.18771,0.1915,0.1846,0.18808,146314393.0,27489612.53591,91953.0,63326785.0,11900532.72058
2021-10-23,0.18815,0.19329,0.18627,0.18924,124546267.0,23571977.4357,81856.0,55763034.0,10553532.35725
2021-10-24,0.18921,0.1935,0.18611,0.19236,157779974.0,29968987.63275,98630.0,69819178.0,13266617.57091
2021-10-25,0.19236,0.19887,0.18903,0.19399,168757639.0,32600587.48476,100550.0,74546383.0,14406038.21956
2021-10-26,0.19397,0.19523,0.18809,0.19015,127149766.0,24434402.78949,71911.0,52318225.0,10056424.57207
2021-10-27,0.19014,0.19255,0.152,0.17412,397910507.0,69367653.96235,206906.0,173655976.0,30248063.39711
2021-10-28,0.17421,0.18384,0.1676,0.17987,234300318.0,41593173.11394,127495.0,105939608.0,18806068.88699
2021-10-29,0.17968,0.18413,0.17762,0.18279,120059132.0,21750614.63534,69174.0,53482113.0,9689475.24843
2021-10-30,0.18276,0.19929,0.18155,0.18703,363511679.0,69138676.13635,195085.0,166046185.0,31612438.91654
2021-10-31,0.18701,0.18736,0.174,0.18244,179476709.0,32340898.04051,131294.0,79405608.0,14307417.35657
2021-11-01,0.18244,0.18288,0.175,0.17841,114807898.0,20554094.88297,99018.0,48684032.0,8713957.78607
