Date_open,Date_close,Open_price,Close_price,Points_SL,Points_TP,Result_points,Result_trade,Equity_usdt
2021-07-12,2021-07-13,0.007552,0.00725274,-0.00029926,-0.0004389999999999993,-0.00029926,-10.0,-10.0
2021-11-26,2021-11-27,0.038685,0.039199,-0.003640079999999997,0.0005140000000000006,0.0005140000000000006,1.4120568778708187,-8.58794312212918
2021-12-04,2021-12-06,0.036389,0.036752,-0.008495920999999997,0.0003630000000000022,0.0003630000000000022,0.42726385991583765,-8.160679262213343
2022-01-03,2022-01-05,0.033057,0.032067899999999996,-0.0009891000000000066,-0.0027070000000000045,-0.0009891000000000066,-10.0,-18.160679262213343
2022-01-07,2022-01-08,0.029009,0.02830167,-0.0007073299999999991,-0.0012840000000000004,-0.0007073299999999991,-10.0,-28.160679262213343
2022-01-10,2022-01-11,0.026682,0.027632,-0.0013933139999999997,0.0009499999999999995,0.0009499999999999995,6.818276425845141,-21.3424028363682
2022-02-24,2022-02-25,0.023812,0.024848,-0.0031376949999999994,0.0010359999999999987,0.0010359999999999987,3.301786821217483,-18.040616015150718
2022-04-23,2022-04-24,0.024102,0.023676299999999997,-0.0004257000000000011,-0.00016099999999999795,-0.0004257000000000011,-10.0,-28.040616015150718
2022-04-24,2022-04-25,0.023941,0.023427549,-0.0005134510000000016,0.0003559999999999987,-0.0005134510000000016,-10.0,-38.04061601515072
2022-05-05,2022-05-07,0.020257,0.019291688999999997,-0.0009653110000000034,-0.0009960000000000004,-0.0009653110000000034,-10.0,-48.04061601515072
2022-06-07,2022-06-10,0.010719,0.010154835000000001,-0.0005641649999999984,-0.000595,-0.0005641649999999984,-10.0,-58.04061601515072
2022-06-18,2022-06-19,0.007703,0.008214,-0.0005811289999999997,0.000511000000000001,0.000511000000000001,8.793228353773454,-49.24738766137726
2022-12-12,2022-12-13,0.008965,0.009177,-0.000651322000000001,0.00021199999999999865,0.00021199999999999865,3.254918458151242,-45.992469203226015
2022-12-19,2022-12-20,0.008141,0.008458,-0.0002608880000000008,0.0003169999999999996,0.0003169999999999996,12.150808009567271,-33.841661193658744
2022-12-27,2022-12-28,0.008192,0.008010981,-0.00018101899999999928,-0.00027299999999999894,-0.00018101899999999928,-10.0,-43.841661193658744
2023-02-28,2023-03-01,0.012016,0.011936052,-7.994799999999982e-05,0.00023899999999999963,-7.994799999999982e-05,-10.0,-53.841661193658744
2023-03-02,2023-03-03,0.01207,0.011715273,-0.00035472700000000086,-0.0006850000000000016,-0.00035472700000000086,-10.0,-63.841661193658744
2023-03-07,2023-03-09,0.011122,0.010582407,-0.0005395929999999997,-0.0010469999999999993,-0.0005395929999999997,-10.0,-73.84166119365875
2023-03-27,2023-03-28,0.010402,0.010451,-0.0003061059999999987,4.900000000000043e-05,4.900000000000043e-05,1.60075268044405,-72.2409085132147
2023-04-26,2023-04-27,0.010162,0.010265,-0.00047369799999999983,0.00010300000000000066,0.00010300000000000066,2.174381145793326,-70.06652736742137
2023-04-30,2023-05-01,0.010067,0.010010979,-5.602099999999985e-05,-0.00010799999999999872,-5.602099999999985e-05,-10.0,-80.06652736742137
2023-05-17,2023-05-18,0.008763,0.008553438,-0.00020956199999999994,-6.899999999999962e-05,-0.00020956199999999994,-10.0,-90.06652736742137
2023-05-18,2023-05-20,0.008694,0.008714,-0.00023546699999999962,1.9999999999999185e-05,1.9999999999999185e-05,0.8493759210419811,-89.21715144637939
2023-07-12,2023-07-13,0.007502,0.007987,-0.00019031900000000043,0.0004849999999999993,0.0004849999999999993,25.483530283366257,-63.73362116301313
