,Open,High,Low,Close,Adj Close,Volume
2023-01-03,135.24000549316406,136.74000549316406,133.88999938964844,135.1199951171875,133.0847930908203,11054800
2023-01-04,135.99000549316406,137.67999267578125,135.57000732421875,136.3800048828125,134.3258056640625,11687600
2023-01-05,135.66000366210938,135.7100067138672,133.6999969482422,135.35000610351562,134.29605102539062,8381300
2023-01-06,136.1300048828125,138.3800048828125,134.49000549316406,137.94000244140625,136.86587524414062,10029100
2023-01-09,138.60000610351562,138.8800048828125,136.8800048828125,137.3699951171875,136.30030822753906,8482300
2023-01-10,137.7899932861328,138.72000122070312,137.30999755859375,138.60000610351562,137.52073669433594,9048700
2023-01-11,138.89999389648438,139.75,138.10000610351562,139.6300048828125,138.54270935058594,8703700
2023-01-12,140.0,140.86000061035156,139.22000122070312,139.49000549316406,138.40380859375,11001700
2023-01-13,135.60000610351562,143.49000549316406,134.8000030517578,143.00999450683594,141.89639282226562,20200000
2023-01-17,141.1699981689453,141.5399932861328,139.22999572753906,140.8000030517578,139.70359802246094,14292900
2023-01-18,138.9199981689453,140.72999572753906,136.41000366210938,136.57000732421875,135.5065460205078,13392600
2023-01-19,135.32000732421875,135.89999389648438,133.58999633789062,134.75,133.70071411132812,13303400
2023-01-20,135.16000366210938,135.49000549316406,133.5500030517578,135.0800018310547,134.02813720703125,13092500
2023-01-23,135.1199951171875,137.9600067138672,134.82000732421875,137.27000427246094,136.2010955810547,10487100
2023-01-24,136.4199981689453,140.2899932861328,135.0,138.4499969482422,137.3719024658203,6945000
2023-01-25,138.0500030517578,139.1199951171875,137.25,139.1199951171875,138.03668212890625,8967000
2023-01-26,139.4199981689453,140.05999755859375,138.36000061035156,139.97999572753906,138.88998413085938,7487600
2023-01-27,140.61000061035156,141.25999450683594,139.75,140.32000732421875,139.2273406982422,7489900
2023-01-30,139.22999572753906,140.08999633789062,138.91000366210938,139.1300048828125,138.04661560058594,6729300
2023-01-31,139.8800048828125,140.07000732421875,138.25,139.9600067138672,138.87014770507812,9188700
2023-02-01,138.2100067138672,140.8800048828125,138.1199951171875,139.58999633789062,138.50302124023438,8841800
2023-02-02,140.0,140.4600067138672,138.0,138.94000244140625,137.85809326171875,11822100
2023-02-03,138.17999267578125,142.3300018310547,138.1300048828125,141.08999633789062,139.9913330078125,11501200
2023-02-06,140.22999572753906,142.24000549316406,140.02999877929688,141.9199981689453,140.81488037109375,8406200
2023-02-07,141.3800048828125,144.33999633789062,141.17999267578125,143.64999389648438,142.53140258789062,10447900
2023-02-08,142.64999389648438,144.0399932861328,142.27999877929688,142.63999938964844,141.52926635742188,6958000
2023-02-09,143.1199951171875,143.33999633789062,139.8699951171875,140.4199981689453,139.32655334472656,6443100
2023-02-10,139.77999877929688,141.27999877929688,138.58999633789062,141.0399932861328,139.9417266845703,6582900
2023-02-13,141.3000030517578,142.72999572753906,140.74000549316406,142.57000732421875,141.45982360839844,7134600
2023-02-14,142.5,143.80999755859375,141.60000610351562,143.1999969482422,142.0849151611328,9249400
