,Open,High,Low,Close,Adj Close,Volume
2023-01-03,240.67999267578125,240.67999267578125,236.1999969482422,238.8800048828125,236.46263122558594,2651900
2023-01-04,240.0,242.1300048828125,238.5500030517578,241.36000061035156,238.9175262451172,2387900
2023-01-05,240.52999877929688,241.5399932861328,237.55999755859375,240.27999877929688,237.8484649658203,2355900
2023-01-06,242.88999938964844,249.91000366210938,242.24000549316406,248.86000061035156,246.3416290283203,3945100
2023-01-09,249.00999450683594,250.97000122070312,246.0,246.6199951171875,244.12429809570312,3417100
2023-01-10,246.9499969482422,250.83999633789062,246.4499969482422,250.50999450683594,247.9749298095703,3011900
2023-01-11,251.49000549316406,251.88999938964844,247.1300048828125,250.72999572753906,248.1927032470703,2402400
2023-01-12,252.0,257.3800048828125,251.00999450683594,255.07000732421875,252.48878479003906,3881500
2023-01-13,256.79998779296875,258.5799865722656,255.22999572753906,258.4599914550781,255.84446716308594,3067800
2023-01-17,258.8599853515625,260.5,255.94000244140625,256.260009765625,253.666748046875,4100100
2023-01-18,257.2799987792969,258.9100036621094,252.07000732421875,252.82000732421875,250.26156616210938,3361400
2023-01-19,250.47999572753906,251.25,244.3000030517578,245.75,244.42324829101562,4885200
2023-01-20,246.8699951171875,249.9199981689453,244.75999450683594,249.7100067138672,248.36187744140625,2964100
2023-01-23,250.75,253.67999267578125,249.27000427246094,252.6999969482422,251.33572387695312,2610200
2023-01-24,252.8800048828125,259.04998779296875,249.75,257.6099853515625,256.2192077636719,3505100
2023-01-25,254.52999877929688,259.19000244140625,254.32000732421875,258.44000244140625,257.04473876953125,2424900
2023-01-26,260.0,262.260009765625,256.8900146484375,262.1199951171875,260.7048645019531,2677200
2023-01-27,262.4599914550781,266.0400085449219,262.1199951171875,264.5400085449219,263.11181640625,2783000
2023-01-30,263.3399963378906,265.0,261.30999755859375,261.5,260.0882263183594,3426900
2023-01-31,257.0,257.3900146484375,246.41000366210938,252.2899932861328,250.9279327392578,10992100
2023-02-01,251.75,252.6999969482422,245.30999755859375,249.5399932861328,248.19277954101562,6022000
2023-02-02,249.3300018310547,249.52999877929688,241.8000030517578,244.89999389648438,243.57781982421875,6130300
2023-02-03,244.0,250.9499969482422,243.1300048828125,247.75999450683594,246.42237854003906,4134700
2023-02-06,248.11000061035156,252.13999938964844,248.0,251.4199981689453,250.0626220703125,3528800
2023-02-07,250.5500030517578,252.0,245.35000610351562,249.66000366210938,248.3121337890625,3467900
2023-02-08,248.10000610351562,251.55999755859375,247.0800018310547,248.8699951171875,247.52639770507812,2300300
2023-02-09,250.0,251.97000122070312,245.47999572753906,246.27999877929688,244.95037841796875,2464900
2023-02-10,246.27999877929688,248.6300048828125,244.63999938964844,247.6699981689453,246.33287048339844,2820300
