Date_open,Date_close,Price_open,Price_close,Points,Usdt
2020-01-01 01:30:00,2020-01-01 02:00:00,7206.63,7207.3,-0.6700000000000728,-0.006700000000000728
2020-01-02 10:00:00,2020-01-02 10:30:00,7163.99,7159.06,4.9299999999993815,0.049299999999993814
2020-01-03 04:30:00,2020-01-03 05:00:00,7239.6,7167.16,72.44000000000051,0.7244000000000052
2020-01-03 16:15:00,2020-01-03 16:45:00,7364.14,7383.0,-18.859999999999673,-0.18859999999999674
2020-01-06 21:15:00,2020-01-06 21:45:00,7576.94,7575.15,1.7899999999999636,0.017899999999999635
2020-01-07 08:15:00,2020-01-07 08:45:00,7904.0,7888.0,16.0,0.16
2020-01-07 11:00:00,2020-01-07 11:30:00,7919.84,7930.73,-10.889999999999418,-0.10889999999999418
2020-01-07 18:30:00,2020-01-07 19:00:00,8075.8,8085.53,-9.729999999999563,-0.09729999999999564
2020-01-07 23:30:00,2020-01-08 00:00:00,8181.97,8239.65,-57.67999999999938,-0.5767999999999939
2020-01-08 05:00:00,2020-01-08 05:30:00,8348.36,8346.24,2.1200000000008004,0.021200000000008004
2020-01-09 19:45:00,2020-01-09 20:15:00,7921.34,7963.49,-42.149999999999636,-0.4214999999999964
2020-01-10 14:30:00,2020-01-10 15:00:00,7955.0,8037.56,-82.5600000000004,-0.825600000000004
2020-01-10 18:15:00,2020-01-10 18:45:00,8093.24,8026.36,66.88000000000011,0.6688000000000011
2020-01-10 23:45:00,2020-01-11 00:15:00,8207.09,8157.58,49.51000000000022,0.4951000000000022
2020-01-11 16:00:00,2020-01-11 16:30:00,8129.96,8150.82,-20.859999999999673,-0.20859999999999673
2020-01-14 14:15:00,2020-01-14 14:45:00,8688.3,8698.64,-10.340000000000146,-0.10340000000000146
2020-01-16 05:45:00,2020-01-16 06:15:00,8709.66,8717.9,-8.239999999999782,-0.08239999999999782
2020-01-17 16:15:00,2020-01-17 16:45:00,8893.02,8882.5,10.520000000000437,0.10520000000000437
2020-01-19 01:00:00,2020-01-19 01:30:00,9125.0,9161.02,-36.02000000000044,-0.36020000000000435
2020-01-19 21:15:00,2020-01-19 21:45:00,8739.99,8730.48,9.510000000000218,0.09510000000000218
2020-01-22 07:00:00,2020-01-22 07:30:00,8763.24,8726.26,36.97999999999956,0.36979999999999563
2020-01-23 15:30:00,2020-01-23 16:00:00,8395.88,8350.0,45.8799999999992,0.458799999999992
2020-01-26 08:15:00,2020-01-26 08:45:00,8466.95,8420.58,46.3700000000008,0.463700000000008
2020-01-26 17:00:00,2020-01-26 17:30:00,8588.0,8571.3,16.700000000000728,0.16700000000000728
2020-01-27 00:15:00,2020-01-27 00:45:00,8689.1,8666.36,22.73999999999978,0.22739999999999783
2020-01-28 14:15:00,2020-01-28 14:45:00,9189.65,9042.21,147.4400000000005,1.474400000000005
2020-01-29 06:15:00,2020-01-29 06:45:00,9377.67,9342.1,35.56999999999971,0.3556999999999971
2020-01-30 07:30:00,2020-01-30 08:00:00,9385.04,9398.37,-13.329999999999927,-0.13329999999999928
2020-01-31 16:00:00,2020-01-31 16:30:00,9350.0,9298.38,51.6200000000008,0.516200000000008
2020-02-05 05:00:00,2020-02-05 05:30:00,9246.54,9278.21,-31.669999999998254,-0.31669999999998255
2020-02-05 06:00:00,2020-02-05 06:30:00,9294.79,9285.07,9.720000000001164,0.09720000000001164
