Date_open,Date_close,Price_open,Price_close,Points,Usdt,Pcnt_cng,Pcnts_25
2020-01-01 01:30:00,2020-01-01 02:15:00,7206.63,7226.0,-19.36999999999989,-0.1936999999999989,0.004908365556102454,8.799999999999955
2020-01-02 10:00:00,2020-01-02 10:15:00,7163.99,7173.0,-9.010000000000218,-0.09010000000000218,0.003070542672562171,5.482499999999845
2020-01-03 04:30:00,2020-01-03 09:00:00,7239.6,7301.0,-61.399999999999636,-0.6139999999999963,0.04205290006102979,73.04000000000019
2020-01-03 16:15:00,2020-01-05 01:15:00,7364.14,7408.28,-44.13999999999942,-0.4413999999999942,0.013635087294290001,24.7650000000001
2020-01-06 21:15:00,2020-01-06 21:30:00,7576.94,7588.36,-11.420000000000073,-0.11420000000000073,0.005305859797398123,9.997499999999945
2020-01-07 08:15:00,2020-01-07 11:00:00,7904.0,7910.98,-6.979999999999563,-0.06979999999999563,0.0038240310697761426,7.527499999999918
2020-01-07 11:15:00,2020-01-07 11:30:00,7940.96,7946.99,-6.029999999999745,-0.06029999999999745,0.008119842579662313,15.990000000000009
2020-01-07 18:30:00,2020-01-07 18:45:00,8075.8,8128.34,-52.539999999999964,-0.5253999999999996,0.016898358013498517,33.549999999999955
2020-01-07 23:30:00,2020-01-07 23:45:00,8181.97,8199.5,-17.529999999999745,-0.17529999999999746,0.015742704055537123,31.7025000000001
2020-01-08 05:00:00,2020-01-08 13:30:00,8348.36,8382.87,-34.51000000000022,-0.3451000000000022,0.004801124635462515,9.97250000000031
2020-01-09 19:45:00,2020-01-09 20:00:00,7921.34,7964.0,-42.659999999999854,-0.42659999999999854,0.012146255947908892,23.7650000000001
2020-01-10 14:30:00,2020-01-10 14:45:00,7955.0,7975.0,-20.0,-0.2,0.011057447890188104,21.75
2020-01-10 18:15:00,2020-01-10 19:15:00,8093.24,8126.0,-32.76000000000022,-0.32760000000000217,0.020604425052176197,40.847499999999854
2020-01-10 23:45:00,2020-01-11 01:15:00,8207.09,8211.62,-4.530000000000655,-0.04530000000000655,0.016015657883660227,32.34249999999997
2020-01-11 16:00:00,2020-01-11 16:15:00,8129.96,8131.0,-1.0399999999999636,-0.010399999999999637,0.007196597566610977,14.522500000000036
2020-01-14 14:15:00,2020-01-14 14:30:00,8688.3,8720.51,-32.210000000000946,-0.3221000000000095,0.01585583015402157,33.90249999999969
2020-01-16 05:45:00,2020-01-16 06:45:00,8709.66,8734.0,-24.340000000000146,-0.24340000000000145,0.005256159886982065,11.384999999999764
2020-01-17 16:15:00,2020-01-17 16:30:00,8893.02,8911.0,-17.979999999999563,-0.17979999999999563,0.006020498201316904,13.305000000000291
2020-01-19 01:00:00,2020-01-19 01:30:00,9125.0,9131.22,-6.219999999999345,-0.062199999999993455,0.019655607826485302,43.97499999999991
2020-01-19 21:15:00,2020-01-19 21:30:00,8739.99,8755.67,-15.680000000000291,-0.1568000000000029,0.010264483845574917,22.199999999999818
2020-01-22 07:00:00,2020-01-22 07:15:00,8763.24,8766.0,-2.7600000000002183,-0.027600000000002182,0.0032708734273876067,7.142499999999927
2020-01-23 15:30:00,2020-01-23 21:00:00,8395.88,8407.0,-11.1200000000008,-0.111200000000008,0.0029158558771637307,6.102499999999964
2020-01-26 08:15:00,2020-01-26 12:00:00,8466.95,8489.0,-22.049999999999272,-0.22049999999999273,0.012822138434596269,26.797500000000127
2020-01-26 17:00:00,2020-01-26 18:45:00,8588.0,8592.37,-4.3700000000008,-0.043700000000008,0.015128823724794625,31.997499999999945
2020-01-27 00:15:00,2020-01-27 00:30:00,8689.1,8699.0,-9.899999999999636,-0.09899999999999637,0.01262002072065468,27.07250000000022
2020-01-28 14:15:00,2020-01-28 14:30:00,9189.65,9193.0,-3.350000000000364,-0.03350000000000364,0.012075991189427272,27.41249999999991
2020-01-29 06:15:00,2020-01-29 10:00:00,9377.67,9324.229999999998,53.44000000000233,0.5344000000000233,0.0014266934776828815,3.3400000000001455
2020-01-30 07:30:00,2020-01-30 07:45:00,9385.04,9399.0,-13.959999999999127,-0.13959999999999126,0.00549188003145566,12.815000000000055
