Datetime,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2023-01-15 13:45:00,20778.9,20792.9,20701.0,20719.5,6284.882,130305626.0569,36959.0,2560.708,53085624.3568
2023-01-15 14:00:00,20719.4,20736.3,20696.4,20724.4,3785.819,78434173.7348,22411.0,1808.126,37464065.6735
2023-01-15 14:15:00,20724.3,20742.8,20717.4,20724.5,1695.881,35157775.9892,13721.0,897.895,18615513.487
2023-01-15 14:30:00,20724.4,20789.4,20721.8,20780.1,4018.657,83444800.4425,24910.0,2224.281,46184849.7266
2023-01-15 14:45:00,20780.1,20835.4,20756.3,20805.3,6625.873,137853244.8118,37858.0,3267.579,67987668.1063
2023-01-15 15:00:00,20805.4,20898.1,20792.2,20889.1,7950.076,165779147.7318,43584.0,4605.045,96037081.2871
2023-01-15 15:15:00,20889.2,20928.5,20851.0,20880.8,8024.585,167571519.9996,46104.0,3805.097,79468415.999
2023-01-15 15:30:00,20880.8,20951.3,20835.1,20921.4,7653.733,159946884.5476,43349.0,4381.555,91579116.5729
2023-01-15 15:45:00,20921.4,21028.0,20896.0,20925.0,13751.41,288177995.71539,73662.0,7690.253,161195488.03339
2023-01-15 16:00:00,20925.0,20980.6,20890.4,20954.8,7982.498,167145541.3759,49762.0,4017.442,84125919.9321
2023-01-15 16:15:00,20954.8,20962.2,20866.2,20921.9,8455.07,176754731.328,51946.0,3999.455,83610666.8929
2023-01-15 16:30:00,20921.9,20921.9,20870.8,20908.3,3567.198,74535334.5059,25668.0,1675.279,35005029.5315
2023-01-15 16:45:00,20908.3,20917.5,20867.9,20884.7,2796.41,58417478.5679,20800.0,1303.313,27227196.2822
2023-01-15 17:00:00,20884.7,20928.4,20884.7,20912.8,2773.181,57986844.5955,20043.0,1510.092,31575882.2597
2023-01-15 17:15:00,20912.8,21073.8,20902.0,21002.7,12329.462,258948228.64807,65047.0,6842.033,143693947.20037
2023-01-15 17:30:00,21002.6,21039.1,20956.3,20981.4,8093.716,169924998.0759,50417.0,3668.479,77025666.8768
2023-01-15 17:45:00,20981.4,20996.5,20876.2,20931.0,9615.328,201222139.8376,52094.0,4366.139,91369774.3923
2023-01-15 18:00:00,20931.0,20934.7,20670.0,20788.0,25788.631,535951397.39733,124499.0,11679.721,242653772.3876
2023-01-15 18:15:00,20787.9,20825.0,20769.5,20807.9,5438.312,113157709.1286,34798.0,2645.492,55049932.5692
2023-01-15 18:30:00,20807.9,20856.0,20760.0,20836.0,4649.165,96781497.2336,32312.0,2381.624,49583292.9428
2023-01-15 18:45:00,20836.0,20868.0,20818.3,20826.9,3494.313,72830659.0215,20981.0,1720.215,35854220.242
2023-01-15 19:00:00,20827.0,20855.5,20784.6,20854.7,2830.535,58919588.4153,21469.0,1391.043,28962211.4704
2023-01-15 19:15:00,20854.8,20916.9,20843.5,20857.4,4932.829,103000313.595,31000.0,2480.104,51790228.5433
2023-01-15 19:30:00,20857.4,20893.9,20850.7,20872.6,2008.815,41934018.566,16689.0,1173.552,24499628.8111
2023-01-15 19:45:00,20872.6,20892.0,20860.0,20877.2,1291.371,26954647.9828,11654.0,615.017,12837560.6976
2023-01-15 20:00:00,20877.3,20894.2,20845.2,20877.4,2533.459,52872042.74,17717.0,1151.781,24038927.6501
2023-01-15 20:15:00,20877.4,20888.7,20856.0,20877.4,1328.445,27727288.3805,11580.0,597.766,12476910.8519
2023-01-15 20:30:00,20877.3,20888.0,20845.8,20887.9,1742.25,36354054.1022,12268.0,830.516,17331010.0207
2023-01-15 20:45:00,20887.9,20943.0,20887.9,20914.6,3794.65,79376801.6112,25484.0,2068.606,43271391.6803
2023-01-15 21:00:00,20914.7,20920.9,20884.8,20903.3,1750.031,36581430.777,14452.0,732.961,15322754.9771
